company,industry,change,year,rank,rq
TikTok,Tech,NA,2018,NA,NA
Spirit Airlines,Airline,NA,2018,NA,NA
Fox Corporation,Media,NA,2018,NA,NA
Facebook,Tech,-15,2018,51,74.07
Twitter,Tech,NA,2018,NA,65.15
Wish.com,Ecommerce,NA,2018,NA,NA
The Trump Organization,Other,NA,2018,96,57.94
Trader Joe's,Retail,NA,2019,NA,78.2
HEB Grocery,Retail,NA,2019,NA,82.5
Patagonia,Retail,-6,2019,3,81.4
The Hershey Company,Food & Beverage,NA,2019,NA,80.1
Wegmans,Groceries,-1,2019,1,83
Samsung,Tech,-28,2019,7,73.2
Amazon.com,Ecommerce,1,2019,2,82.3
Toyota Motor Corporation,Automotive,-5,2019,37,75.9
Honda Motor Company,Automotive,17,2019,36,76
Sony,Tech,-21,2019,10,79.4
IBM,Tech,17,2019,49,74.3
Tesla Motors,Automotive,39,2019,42,75.4
Blue Cross Blue Shield Association,Healthcare,NA,2019,NA,NA
Berkshire Hathaway,Other,21,2019,45,75.1
Microsoft,Tech,-2,2019,9,79.7
The Home Depot,Retail,-14,2019,12,79.1
UPS,Logistics,4,2019,11,79.3
USAA,Financial Services,-17,2019,17,78.8
Publix Supermarkets,Groceries,-2,2019,6,80.3
Subaru,Automotive,NA,2019,NA,NA
Apple,Tech,3,2019,32,76.4
Netflix,Tech,3,2019,24,77.3
3M Company,Industrial,NA,2019,NA,79.9
General Electric,Industrial,-9,2019,43,75.3
The Kroger Company,Groceries,3,2019,21,77.9
Costco,Retail,1,2019,18,78.6
LG Corporation,Tech,NA,2019,NA,79
Chick-fil-A,Food & Beverage,18,2019,22,77.5
Adidas,Retail,NA,2019,NA,77.3
Walgreens,Retail,-1,2019,40,75.4
Google,Tech,13,2019,41,75.4
Target,Retail,23,2019,72,69.9
UnitedHealth Group,Healthcare,NA,2019,NA,73
Lowe's,Retail,-2,2019,20,77.9
Unilever,Consumer Goods,-12,2019,25,77.3
CVS (CVS Health),Retail,1,2019,48,74.6
Procter & Gamble Co.,Consumer Goods,-12,2019,8,79.8
Dell,Tech,NA,2019,NA,77.1
FedEx Corporation,Logistics,NA,2019,NA,77.2
The Kraft Heinz Company,Food & Beverage,NA,2019,NA,79
Ford Motor Company,Automotive,1,2019,58,73
Nestle,Consumer Goods,-5,2019,28,77.1
Starbucks Corporation,Food & Beverage,5,2019,59,72.7
Pfizer,Pharma,NA,2019,NA,64.2
Stellantis,Automotive,NA,2019,NA,NA
American Express,Financial Services,-3,2019,47,74.6
PepsiCo,Consumer Goods,5,2019,50,74.2
JPMorgan Chase & Co.,Financial Services,-11,2019,52,73.6
Hobby Lobby,Retail,-28,2019,16,78.9
Best Buy,Retail,-12,2019,34,76.1
General Motors,Automotive,6,2019,70,70.2
T-Mobile,Telecom,NA,2019,NA,NA
Yum! Brands,Food & Beverage,15,2019,68,71.4
Nordstrom,Retail,-9,2019,46,74.9
State Farm Insurance,Financial Services,NA,2019,66,71.5
Nike,Retail,23,2019,35,76
Progressive Corporation,Insurance,NA,2019,NA,71.5
The Coca-Cola Company,Food & Beverage,4,2019,31,76.8
Spotify,Media,NA,2019,NA,74.8
Citigroup,Financial Services,7,2019,75,68.8
Kohl's,Retail,0,2019,38,75.9
Royal Dutch Shell,Energy,-10,2019,56,80
Macy's,Retail,11,2019,69,70.7
Wendy's,Food & Beverage,NA,2019,NA,72.3
The Walt Disney Company,Media,0,2019,5,80.4
Delta Air Lines,Airline,NA,2019,NA,69.8
Verizon Communications,Telecom,-1,2019,64,71.6
DoorDash,Food Delivery,9,2019,57,73.1
"Electronic Arts, Inc.",Tech,NA,2019,51,73.6
Chipotle,Food & Beverage,6,2019,81,66.8
AT&T,Telecom,4,2019,74,69.5
Johnson & Johnson,Pharma,-7,2019,33,76.3
Robinhood,Tech,NA,2019,NA,NA
Dollar Tree,Retail,4,2019,65,71.5
Grubhub Inc.,Food Delivery,NA,2019,NA,NA
Big Lots,Retail,NA,2019,NA,NA
Walmart,Retail,10,2019,79,66.9
Shein,Retail,NA,2019,NA,NA
Bank of America,Financial Services,7,2019,92,60.9
Goldman Sachs,Financial Services,NA,2019,NA,60
Burger King,Food & Beverage,NA,2019,NA,68
Spectrum,Telecom,NA,2019,NA,NA
eBay,Ecommerce,9,2019,57,73.1
Subway,Food & Beverage,NA,2019,NA,68.5
Comcast,Media,13,2019,91,61.4
McDonald's,Food & Beverage,29,2019,88,63.7
JCPenney,Retail,11,2019,83,66.6
ExxonMobil,Energy,-3,2019,77,67.5
BP,Energy,-10,2019,84,66.5
My Pillow,Ecommerce,NA,2019,NA,NA
Uber,Tech,2,2019,78,67.3
Wells Fargo & Company,Financial Services,-1,2019,96,52.7
Sears Holdings Corporation,Retail,9,2019,97,52.3
TikTok,Tech,NA,2019,NA,NA
Spirit Airlines,Airline,NA,2019,NA,61.8
Fox Corporation,Media,NA,2019,NA,NA
Facebook,Tech,43,2019,94,58.1
Twitter,Tech,NA,2019,89,61.9
Wish.com,Ecommerce,NA,2019,NA,NA
The Trump Organization,Other,2,2019,98,50.1
Trader Joe's,Retail,NA,2020,NA,80.7
HEB Grocery,Retail,NA,2020,NA,83.1
Patagonia,Retail,29,2020,32,76.1
The Hershey Company,Food & Beverage,NA,2020,NA,81.8
Wegmans,Groceries,5,2020,6,80.4
Samsung,Tech,15,2020,22,69.8
Amazon.com,Ecommerce,1,2020,3,81.4
Toyota Motor Corporation,Automotive,-22,2020,15,78.5
Honda Motor Company,Automotive,-20,2020,16,78.5
Sony,Tech,NA,2020,NA,78.2
IBM,Tech,-16,2020,33,76
Tesla Motors,Automotive,-24,2020,18,78.1
Blue Cross Blue Shield Association,Healthcare,NA,2020,NA,71.5
Berkshire Hathaway,Other,-5,2020,40,75.3
Microsoft,Tech,10,2020,19,77.8
The Home Depot,Retail,34,2020,46,74.6
UPS,Logistics,-1,2020,10,79.4
USAA,Financial Services,4,2020,21,77.7
Publix Supermarkets,Groceries,-2,2020,4,81.2
Subaru,Automotive,NA,2020,NA,NA
